101;BLOQUE PISTON DIAM 14x125 UNIVERSEL PREMIUM  -REPLAY-;2.3;6.9;1;68;REPLAY;;0; par 1;3,70095E+12
;;;;;;;;;;
103;BOUCHON D'HUILE SCOOT ADAPTABLE MBK 50 BOOSTER, STUNT-YAMAHA 50 BWS, SLIDER  -REPLAY BLANC-;1.4;4.2;1;20;REPLAY;;0; par 1;3,70095E+12
;;;;;;;;;;
106;CABOCHON CLIGNOTANT SCOOT ADAPTABLE MBK 50 BOOSTER NG 1995>1998-YAMAHA 50 BWS NG 1995>1998 AV+AR TRANSPARENT (x4)  -REPLAY-;4.2;10.5;1;37;REPLAY;;0; par 1;3,70095E+12
;;;;;;;;;;
107;CABOCHON CLIGNOTANT SCOOT ADAPTABLE MBK 50 BOOSTER NG 1999>-YAMAHA 50 BWS NG 1999> AV+AR TRANSPARENT (x4)  -REPLAY-;4;10;1;37;REPLAY;;0; par 1;3,70095E+12
;;;;;;;;;;
108;CABOCHON CLIGNOTANT SCOOT ADAPTABLE MBK 50 BOOSTER SPIRIT-YAMAHA 50 BWS ORIGINAL 1999>2003 AV+AR TRANSPARENT (x4)  -REPLAY-;2.5;7.5;1;37;REPLAY;;0; par 1;3,70095E+12
;;;;;;;;;;
109;CABOCHON CLIGNOTANT SCOOT ADAPTABLE PEUGEOT 50 BUXY, ZENITH, SPEEDAKE  AV+AR TRANSPARENT (x4)  -REPLAY-;4.6;11.5;1;37;REPLAY;;0; par 1;3,70095E+12
;;;;;;;;;;
110;CABOCHON CLIGNOTANT SCOOT ADAPTABLE MBK 50 NITRO 1997>1998-YAMAHA AEROX 1997>1998 AV+AR TRANSPARENT (x4)  -REPLAY-;5;12.5;1;37;REPLAY;;0; par 1;3,70095E+12
;;;;;;;;;;
111;CABOCHON CLIGNOTANT SCOOT ADAPTABLE MBK 50 NITRO 1999>-YAMAHA 50 AEROX 1999> AV+AR TRANSPARENT (x4)  -REPLAY-;3.8;9.5;1;37;REPLAY;;0; par 1;3,70095E+12
;;;;;;;;;;
113;CABOCHON CLIGNOTANT SCOOT ADAPTABLE GILERA 50 STALKER AV+AR 2001> TRANSPARENT (x4)  -REPLAY-;5.95;14.9;3;37;REPLAY;;0; par 1;3,70095E+12
;;;;;;;;;;
